id,trn_all,in_ictrp,trn_ictrp,n_ictrp,is_intervention,is_reg_2020,is_not_withdrawn_ictrp,in_registries,trn_registries,n_registries,is_not_withdrawn_registry,is_any_rcd_cutoff_3,is_not_withdrawn_auto,is_not_phase_1_manually_excluded,is_clinical_trial_manual,is_covid_manual,is_not_withdrawn_manual,is_extracted,is_pass_screening_auto,is_pass_screening_manual_ignore_cd,is_pass_screening_manual
tri00081,ChiCTR2000029558,TRUE,ChiCTR2000029558,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029558,1,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00082,ChiCTR2000029548,TRUE,ChiCTR2000029548,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029548,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00083,ChiCTR2000029544,TRUE,ChiCTR2000029544,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029544,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00084,ChiCTR2000029542,TRUE,ChiCTR2000029542,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029542,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00085,ChiCTR2000029541,TRUE,ChiCTR2000029541,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029541,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00086,ChiCTR2000029539,TRUE,ChiCTR2000029539,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029539,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00087,ChiCTR2000029518,TRUE,ChiCTR2000029518,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029518,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00088,ChiCTR2000029517,TRUE,ChiCTR2000029517,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029517,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00089,ChiCTR2000029495,TRUE,ChiCTR2000029495,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029495,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
tri00090,ChiCTR2000029493,TRUE,ChiCTR2000029493,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029493,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
tri00091,ChiCTR2000029487,TRUE,ChiCTR2000029487,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029487,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00092,ChiCTR2000029468,TRUE,ChiCTR2000029468,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029468,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00093,ChiCTR2000029462,TRUE,ChiCTR2000029462,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029462,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00094,ChiCTR2000029461,TRUE,ChiCTR2000029461,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029461,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
tri00095,ChiCTR2000029460,TRUE,ChiCTR2000029460,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029460,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
tri00096,ChiCTR2000029459,TRUE,ChiCTR2000029459,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029459,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
